sample_id,decimalLatitude,decimalLongitude,eventDate,samp_name,samp_category,neg_cont_type,pos_cont_type,materialSampleID,sample_derived_from,sample_composed_of,rel_cont_id,biological_rep_relation,verbatimLongitude,verbatimLatitude,verbatimCoordinateSystem,verbatimSRS,geo_loc_name,eventDurationValue,verbatimEventDate,verbatimEventTime,env_broad_scale,env_local_scale,env_medium,habitat_natural_artificial_0_1,samp_collect_method,samp_collect_device,samp_size,samp_size_unit,samp_store_temp,samp_store_sol,samp_store_dur,samp_store_loc,dna_store_loc,samp_store_method_additional,samp_mat_process,filter_passive_active_0_1,stationed_sample_dur,pump_flow_rate,pump_flow_rate_unit,prefilter_material,size_frac_low,size_frac,filter_diameter,filter_surface_area,filter_material,filter_name,precip_chem_prep,precip_force_prep,precip_time_prep,precip_temp_prep,prepped_samp_store_temp,prepped_samp_store_sol,prepped_samp_store_dur,prep_method_additional,date_ext,samp_vol_we_dna_ext,samp_vol_we_dna_ext_unit,nucl_acid_ext_lysis,nucl_acid_ext_sep,nucl_acid_ext,nucl_acid_ext_kit,nucl_acid_ext_modify,dna_cleanup_0_1,dna_cleanup_method,concentration,concentration_unit,concentration_method,ratioOfAbsorbance260_280,pool_dna_num,nucl_acid_ext_method_additional,assay_name,samp_weather,minimumDepthInMeters,maximumDepthInMeters,tot_depth_water_col,elev,temp,chlorophyll,light_intensity,ph,ph_meth,salinity,suspend_part_matter,tidal_stage,turbidity,water_current,solar_irradiance,wind_direction,wind_speed,diss_inorg_carb,diss_inorg_carb_unit,diss_inorg_nitro,diss_inorg_nitro_unit,diss_org_carb,diss_org_carb_unit,diss_org_nitro,diss_org_nitro_unit,diss_oxygen,diss_oxygen_unit,tot_diss_nitro,tot_diss_nitro_unit,tot_inorg_nitro,tot_inorg_nitro_unit,tot_nitro,tot_nitro_unit,tot_part_carb,tot_part_carb_unit,tot_org_carb,tot_org_carb_unit,tot_org_c_meth,tot_nitro_content,tot_nitro_content_unit,tot_nitro_cont_meth,tot_carb,tot_carb_unit,part_org_carb,part_org_carb_unit,part_org_nitro,part_org_nitro_unit,nitrate,nitrate_unit,nitrite,nitrite_unit,nitro,nitro_unit,org_carb,org_carb_unit,org_matter,org_matter_unit,org_nitro,org_nitro_unit,site_id,tube_id,biological_rep,swell_m,filter_device,digestion_personnel,digestion_date,extraction_personnel,extraction_method,sampling_comments,digestion_comments,extraction_comments,time,depth,latitude,longitude,sst,anom,err
32,-26.8176,109.1271,2022-11-20,V10_CKI_N_3_3,sample,,,,,,,,109.1271,-26.8176,,,Indian Ocean: Eastern Indian Ocean,,20/11/2022,1:00:00 PM,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,manual niskin,2.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-21T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5537.0,,,,,,,,,,,,,,7.71667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_3,N_3_3,3.0,2.0,sentino peristaltic,,2022-11-20T00:00:00,,,EEZ=Inside; Project=Project_1,,,2022-11-20 12:00:00,0.0,-26.875,109.125,19.52,-1.5999999,0.12
33,-26.8176,109.1271,2022-11-20,V10_CKI_N_3_4,sample,,,,,,,,109.1271,-26.8176,,,Indian Ocean: Eastern Indian Ocean,,20/11/2022,1:00:00 PM,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,manual niskin,2.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-21T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5537.0,,,,,,,,,,,,,,7.71667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_3,N_3_4,4.0,2.0,sentino peristaltic,,2022-11-20T00:00:00,,,EEZ=Inside; Project=Project_1,,,2022-11-20 12:00:00,0.0,-26.875,109.125,19.52,-1.5999999,0.12
34,-26.8176,109.1271,2022-11-20,V10_CKI_N_3_5,sample,,,,,,,,109.1271,-26.8176,,,Indian Ocean: Eastern Indian Ocean,,20/11/2022,1:00:00 PM,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,manual niskin,2.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-21T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5537.0,,,,,,,,,,,,,,7.71667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_3,N_3_5,5.0,2.0,sentino peristaltic,,2022-11-20T00:00:00,,,EEZ=Inside; Project=Project_1,,,2022-11-20 12:00:00,0.0,-26.875,109.125,19.52,-1.5999999,0.12
35,,,2022-11-20,V10_CKI_N_3_WC,negative control,site negative,,,,,,,,,,,,,,,,,,,,,1.0,L,,,,,,,,,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-21T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_3,N_3_WC,,,sentino peristaltic,,2022-11-20T00:00:00,,,Project=Project_1,,,2022-11-20 12:00:00,0.0,89.875,359.875,-1.8,0.0,0.29999998
36,,,2022-11-20,V10_CKI_N_3_DI,negative control,site negative,,,,,,,,,,,,,,,,,,,,,1.0,L,,,,,,,,,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-21T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_3,N_3_DI,,,sentino peristaltic,,2022-11-20T00:00:00,,,Project=Project_1,,,2022-11-20 12:00:00,0.0,89.875,359.875,-1.8,0.0,0.29999998
37,-26.8176,109.1271,2022-11-20,V10_CKI_N_H_4_3_1,sample,,,,,,,,109.1271,-26.8176,,,Indian Ocean: Eastern Indian Ocean,,20/11/2022,1:00:00 PM,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,manual niskin,4.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-21T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5537.0,,,,,,,,,,,,,,7.71667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_H_4_3,N_H_4_3_1,1.0,2.0,sentino peristaltic,,2022-11-20T00:00:00,,,EEZ=Inside; Project=Project_1,,,2022-11-20 12:00:00,0.0,-26.875,109.125,19.52,-1.5999999,0.12
38,-26.8176,109.1271,2022-11-20,V10_CKI_N_H_4_3_2,sample,,,,,,,,109.1271,-26.8176,,,Indian Ocean: Eastern Indian Ocean,,20/11/2022,1:00:00 PM,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,manual niskin,4.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-21T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5537.0,,,,,,,,,,,,,,7.71667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_H_4_3,N_H_4_3_2,2.0,2.0,sentino peristaltic,,2022-11-20T00:00:00,,,EEZ=Inside; Project=Project_1,,,2022-11-20 12:00:00,0.0,-26.875,109.125,19.52,-1.5999999,0.12
39,-26.8176,109.1271,2022-11-20,V10_CKI_N_H_4_3_3,sample,,,,,,,,109.1271,-26.8176,,,Indian Ocean: Eastern Indian Ocean,,20/11/2022,1:00:00 PM,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,manual niskin,4.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-21T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5537.0,,,,,,,,,,,,,,7.71667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_H_4_3,N_H_4_3_3,3.0,2.0,sentino peristaltic,,2022-11-20T00:00:00,,,EEZ=Inside; Project=Project_1,,,2022-11-20 12:00:00,0.0,-26.875,109.125,19.52,-1.5999999,0.12
40,-26.8176,109.1271,2022-11-20,V10_CKI_N_H_2_3_1,sample,,,,,,,,109.1271,-26.8176,,,Indian Ocean: Eastern Indian Ocean,,20/11/2022,1:00:00 PM,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,manual niskin,2.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-21T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5537.0,,,,,,,,,,,,,,7.71667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_H_4_3,N_H_2_3_1,1.0,2.0,sentino peristaltic,,2022-11-20T00:00:00,,,EEZ=Inside; Project=Project_1,,,2022-11-20 12:00:00,0.0,-26.875,109.125,19.52,-1.5999999,0.12
41,-26.8176,109.1271,2022-11-20,V10_CKI_N_H_2_3_2,sample,,,,,,,,109.1271,-26.8176,,,Indian Ocean: Eastern Indian Ocean,,20/11/2022,1:00:00 PM,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,manual niskin,2.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-21T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5537.0,,,,,,,,,,,,,,7.71667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_H_4_3,N_H_2_3_2,2.0,2.0,sentino peristaltic,,2022-11-20T00:00:00,,,EEZ=Inside; Project=Project_1,,,2022-11-20 12:00:00,0.0,-26.875,109.125,19.52,-1.5999999,0.12
42,-26.8176,109.1271,2022-11-20,V10_CKI_N_H_2_3_3,sample,,,,,,,,109.1271,-26.8176,,,Indian Ocean: Eastern Indian Ocean,,,,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,manual niskin,2.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-21T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5537.0,,,,,,,,,,,,,,7.71667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_H_4_3,N_H_2_3_3,3.0,2.0,sentino peristaltic,,2022-11-20T00:00:00,,,Project=Project_1,,,2022-11-20 12:00:00,0.0,-26.875,109.125,19.52,-1.5999999,0.12
43,,,2022-11-20,V10_CKI_N_H_3_WC,negative control,site negative,,,,,,,,,,,,,,,,,,,,,1.0,L,,,,,,,,,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-21T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_H_4_3,N_H_3_WC,,,sentino peristaltic,,2022-11-20T00:00:00,,,Project=Project_1,,,2022-11-20 12:00:00,0.0,89.875,359.875,-1.8,0.0,0.29999998
44,,,2022-11-20,V10_CKI_N_H_3_DI,negative control,site negative,,,,,,,,,,,,,,,,,,,,,1.0,L,,,,,,,,,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-21T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_H_4_3,N_H_3_DI,,,sentino peristaltic,,2022-11-20T00:00:00,,,Project=Project_1,,,2022-11-20 12:00:00,0.0,89.875,359.875,-1.8,0.0,0.29999998
45,-26.2433,108.4332167,2022-11-20,V10_CKI_U_4_1,sample,,,,,,,,108.4332167,-26.2433,,,Indian Ocean: Eastern Indian Ocean,,20/11/2022,7:00:00 PM,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,underway in-line,2.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-22T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5671.0,,,,,,,,,,,,,,7.71667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U_4,U_4_1,1.0,2.0,sentino peristaltic,,2022-11-21T00:00:00,,,EEZ=Outside; Project=Project_1,,,2022-11-20 12:00:00,0.0,-26.125,108.375,20.46,-0.87,0.12
46,-26.2433,108.4332167,2022-11-20,V10_CKI_U_4_2,sample,,,,,,,,108.4332167,-26.2433,,,Indian Ocean: Eastern Indian Ocean,,20/11/2022,7:00:00 PM,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,underway in-line,2.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-22T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5671.0,,,,,,,,,,,,,,7.71667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U_4,U_4_2,2.0,2.0,sentino peristaltic,,2022-11-21T00:00:00,,,EEZ=Outside; Project=Project_1,,,2022-11-20 12:00:00,0.0,-26.125,108.375,20.46,-0.87,0.12
47,-26.2433,108.4332167,2022-11-20,V10_CKI_U_4_3,sample,,,,,,,,108.4332167,-26.2433,,,Indian Ocean: Eastern Indian Ocean,,20/11/2022,7:00:00 PM,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,underway in-line,2.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-22T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5671.0,,,,,,,,,,,,,,7.71667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U_4,U_4_3,3.0,2.0,sentino peristaltic,,2022-11-21T00:00:00,,,EEZ=Outside; Project=Project_1,,,2022-11-20 12:00:00,0.0,-26.125,108.375,20.46,-0.87,0.12
48,-26.2433,108.4332167,2022-11-20,V10_CKI_U_4_4,sample,,,,,,,,108.4332167,-26.2433,,,Indian Ocean: Eastern Indian Ocean,,20/11/2022,7:00:00 PM,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,underway in-line,2.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-22T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5671.0,,,,,,,,,,,,,,7.71667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U_4,U_4_4,4.0,2.0,sentino peristaltic,,2022-11-21T00:00:00,,,EEZ=Outside; Project=Project_1,,,2022-11-20 12:00:00,0.0,-26.125,108.375,20.46,-0.87,0.12
49,-26.2433,108.4332167,2022-11-20,V10_CKI_U_4_5,sample,,,,,,,,108.4332167,-26.2433,,,Indian Ocean: Eastern Indian Ocean,,20/11/2022,7:00:00 PM,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,underway in-line,2.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-22T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5671.0,,,,,,,,,,,,,,7.71667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U_4,U_4_5,5.0,2.0,sentino peristaltic,,2022-11-21T00:00:00,,,EEZ=Outside; Project=Project_1,,,2022-11-20 12:00:00,0.0,-26.125,108.375,20.46,-0.87,0.12
50,,,2022-11-20,V10_CKI_U_4_WC,negative control,site negative,,,,,,,,,,,,,,,,,,,,,1.0,L,,,,,,,,,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-22T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U_4,U_4_WC,,,sentino peristaltic,,2022-11-21T00:00:00,,,Project=Project_1,,,2022-11-20 12:00:00,0.0,89.875,359.875,-1.8,0.0,0.29999998
51,,,2022-11-20,V10_CKI_U_4_DI,negative control,site negative,,,,,,,,,,,,,,,,,,,,,1.0,L,,,,,,,,,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-22T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U_4,U_4_DI,,,sentino peristaltic,,2022-11-21T00:00:00,,,Project=Project_1,,,2022-11-20 12:00:00,0.0,89.875,359.875,-1.8,0.0,0.29999998
52,-26.2433,108.4332167,2022-11-20,V10_CKI_N_4_1,sample,,,,,,,,108.4332167,-26.2433,,,Indian Ocean: Eastern Indian Ocean,,20/11/2022,7:00:00 PM,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,manual niskin,2.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-22T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5671.0,,,,,,,,,,,,,,7.71667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_4,N_4_1,1.0,2.0,sentino peristaltic,,2022-11-21T00:00:00,,,EEZ=Outside; Project=Project_1,,,2022-11-20 12:00:00,0.0,-26.125,108.375,20.46,-0.87,0.12
53,-26.2433,108.4332167,2022-11-20,V10_CKI_N_4_2,sample,,,,,,,,108.4332167,-26.2433,,,Indian Ocean: Eastern Indian Ocean,,20/11/2022,7:00:00 PM,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,manual niskin,2.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-22T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5671.0,,,,,,,,,,,,,,7.71667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_4,N_4_2,2.0,2.0,sentino peristaltic,,2022-11-21T00:00:00,,,EEZ=Outside; Project=Project_1,,,2022-11-20 12:00:00,0.0,-26.125,108.375,20.46,-0.87,0.12
54,-26.2433,108.4332167,2022-11-20,V10_CKI_N_4_3,sample,,,,,,,,108.4332167,-26.2433,,,Indian Ocean: Eastern Indian Ocean,,20/11/2022,7:00:00 PM,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,manual niskin,2.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-22T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5671.0,,,,,,,,,,,,,,7.71667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_4,N_4_3,3.0,2.0,sentino peristaltic,,2022-11-21T00:00:00,,,EEZ=Outside; Project=Project_1,,,2022-11-20 12:00:00,0.0,-26.125,108.375,20.46,-0.87,0.12
55,-26.2433,108.4332167,2022-11-20,V10_CKI_N_4_4,sample,,,,,,,,108.4332167,-26.2433,,,Indian Ocean: Eastern Indian Ocean,,20/11/2022,7:00:00 PM,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,manual niskin,2.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-22T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5671.0,,,,,,,,,,,,,,7.71667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_4,N_4_4,4.0,2.0,sentino peristaltic,,2022-11-21T00:00:00,,,EEZ=Outside; Project=Project_1,,,2022-11-20 12:00:00,0.0,-26.125,108.375,20.46,-0.87,0.12
56,-26.2433,108.4332167,2022-11-20,V10_CKI_N_4_5,sample,,,,,,,,108.4332167,-26.2433,,,Indian Ocean: Eastern Indian Ocean,,20/11/2022,7:00:00 PM,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,manual niskin,2.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-22T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5671.0,,,,,,,,,,,,,,7.71667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_4,N_4_5,5.0,2.0,sentino peristaltic,,2022-11-21T00:00:00,,,EEZ=Outside; Project=Project_1,,,2022-11-20 12:00:00,0.0,-26.125,108.375,20.46,-0.87,0.12
57,,,2022-11-20,V10_CKI_N_4_WC,negative control,site negative,,,,,,,,,,,,,,,,,,,,,1.0,L,,,,,,,,,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-22T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_4,N_4_WC,,,sentino peristaltic,,2022-11-21T00:00:00,,,Project=Project_1,,,2022-11-20 12:00:00,0.0,89.875,359.875,-1.8,0.0,0.29999998
58,,,2022-11-20,V10_CKI_N_4_DI,negative control,site negative,,,,,,,,,,,,,,,,,,,,,1.0,L,,,,,,,,,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-22T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_4,N_4_DI,,,sentino peristaltic,,2022-11-21T00:00:00,,,Project=Project_1,,,2022-11-20 12:00:00,0.0,89.875,359.875,-1.8,0.0,0.29999998
59,,,2022-11-20,V10_CKI_BC_2,negative control,field negative,,,,,,,,,,,,,,,,,,,,,1.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-22T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BC_2,,,sentino peristaltic,,2022-11-21T00:00:00,,,Project=Project_1,,,2022-11-20 12:00:00,0.0,89.875,359.875,-1.8,0.0,0.29999998
60,-24.89073333,106.7784333,2022-11-21,V10_CKI_U_5_1,sample,,,,,,,,106.7784333,-24.89073333,,,Indian Ocean: Eastern Indian Ocean,,21/11/2022,7:00:00 AM,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,underway in-line,2.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-22T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5576.0,,,,,,,,,,,,,,10.2889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U_5,U_5_1,1.0,2.5,sentino peristaltic,,2022-11-21T00:00:00,,,EEZ=Outside; Project=Project_1,,,2022-11-21 12:00:00,0.0,-24.875,106.875,21.21,-0.53,0.12
61,-24.89073333,106.7784333,2022-11-21,V10_CKI_U_5_2,sample,,,,,,,,106.7784333,-24.89073333,,,Indian Ocean: Eastern Indian Ocean,,21/11/2022,7:00:00 AM,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,underway in-line,2.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-22T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5576.0,,,,,,,,,,,,,,10.2889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U_5,U_5_2,2.0,2.5,sentino peristaltic,,2022-11-21T00:00:00,,,EEZ=Outside; Project=Project_1,,,2022-11-21 12:00:00,0.0,-24.875,106.875,21.21,-0.53,0.12
62,-24.89073333,106.7784333,2022-11-21,V10_CKI_U_5_3,sample,,,,,,,,106.7784333,-24.89073333,,,Indian Ocean: Eastern Indian Ocean,,21/11/2022,7:00:00 AM,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,underway in-line,2.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-22T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5576.0,,,,,,,,,,,,,,10.2889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U_5,U_5_3,3.0,2.5,sentino peristaltic,,2022-11-21T00:00:00,,,EEZ=Outside; Project=Project_1,,,2022-11-21 12:00:00,0.0,-24.875,106.875,21.21,-0.53,0.12
63,-24.89073333,106.7784333,2022-11-21,V10_CKI_U_5_4,sample,,,,,,,,106.7784333,-24.89073333,,,Indian Ocean: Eastern Indian Ocean,,21/11/2022,7:00:00 AM,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,underway in-line,2.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-22T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5576.0,,,,,,,,,,,,,,10.2889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U_5,U_5_4,4.0,2.5,sentino peristaltic,,2022-11-21T00:00:00,,,EEZ=Outside; Project=Project_1,,,2022-11-21 12:00:00,0.0,-24.875,106.875,21.21,-0.53,0.12
64,-24.89073333,106.7784333,2022-11-21,V10_CKI_U_5_5,sample,,,,,,,,106.7784333,-24.89073333,,,Indian Ocean: Eastern Indian Ocean,,21/11/2022,7:00:00 AM,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,underway in-line,2.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-22T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5576.0,,,,,,,,,,,,,,10.2889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U_5,U_5_5,5.0,2.5,sentino peristaltic,,2022-11-21T00:00:00,,,EEZ=Outside; Project=Project_1,,,2022-11-21 12:00:00,0.0,-24.875,106.875,21.21,-0.53,0.12
65,,,2022-11-21,V10_CKI_U_5_WC,negative control,site negative,,,,,,,,,,,,,,,,,,,,,1.0,L,,,,,,,,,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-22T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U_5,U_5_WC,,,sentino peristaltic,,2022-11-21T00:00:00,,,Project=Project_1,,,2022-11-21 12:00:00,0.0,89.875,359.875,-1.8,0.0,0.29999998
